Date,Open,High,Low,Close,Adj Close,Volume
2016-11-25,165.020004,166.869995,163.639999,165.860001,163.874893,13800
2016-11-28,166.119995,167.440002,165.270004,166.149994,164.161407,31200
2016-11-29,166.860001,167.300003,163.300003,165.059998,163.084473,56300
2016-11-30,165.809998,166.460007,161.389999,161.779999,159.843719,39200
2016-12-01,161.529999,165.899994,157.860001,159.009995,157.106873,32700
2016-12-02,159.139999,162.320007,157.210007,157.619995,155.733490,19400
2016-12-05,157.779999,160.750000,157.779999,160.020004,158.104797,28000
2016-12-06,160.479996,161.350006,159.270004,159.720001,157.808365,23600
2016-12-07,159.580002,162.059998,159.580002,162.029999,160.090729,51100
2016-12-08,161.779999,162.850006,160.399994,161.910004,159.972168,30900
2016-12-09,162.479996,167.539993,161.589996,167.149994,165.149429,67900
2016-12-12,166.970001,167.380005,165.220001,167.330002,165.327286,29600
2016-12-13,167.199997,168.240005,166.009995,167.160004,165.159317,32900
2016-12-14,166.779999,168.429993,165.520004,167.720001,165.712631,39500
2016-12-15,167.979996,172.410004,167.100006,171.660004,169.605469,33500
2016-12-16,172.869995,174.740005,171.169998,174.059998,171.976730,42800
2016-12-19,174.479996,175.570007,173.520004,173.600006,171.522263,27200
2016-12-20,173.009995,179.350006,173.009995,178.520004,176.383377,43700
2016-12-21,178.119995,179.410004,176.059998,177.210007,175.089035,33800
2016-12-22,176.270004,176.270004,172.660004,174.669998,172.579453,25500
2016-12-23,174.000000,178.050003,174.000000,177.559998,175.434845,18600
2016-12-27,178.309998,182.259995,178.009995,179.080002,176.936676,47300
2016-12-28,179.229996,180.059998,177.630005,178.699997,176.561234,24000
2016-12-29,177.800003,180.699997,177.800003,179.050003,176.907028,25700
2016-12-30,178.270004,179.899994,177.199997,178.850006,176.709427,30400
2017-01-03,178.720001,180.740005,174.600006,179.699997,177.549240,31500
2017-01-04,179.889999,181.000000,176.070007,179.960007,177.806137,17500
2017-01-05,180.009995,181.000000,178.009995,179.300003,177.154053,20800
2017-01-06,178.880005,179.600006,176.009995,177.210007,175.089035,21700
2017-01-09,177.000000,177.000000,172.300003,173.169998,171.097397,33000
2017-01-10,172.389999,173.009995,170.149994,171.729996,169.674637,27000
2017-01-11,171.000000,171.080002,169.770004,170.919998,168.874329,20900
2017-01-12,170.520004,170.520004,168.369995,169.300003,167.273712,17000
2017-01-13,168.699997,170.139999,167.800003,170.100006,168.064148,24600
2017-01-17,169.160004,169.990005,166.050003,166.710007,164.714706,20800
2017-01-18,167.039993,168.250000,165.600006,168.000000,165.989288,18100
2017-01-19,167.169998,167.990005,166.279999,166.410004,164.418304,14000
2017-01-20,166.699997,168.059998,166.009995,166.639999,164.645538,14900
2017-01-23,166.270004,169.130005,166.210007,167.690002,165.682999,16600
2017-01-24,167.300003,170.000000,167.300003,169.600006,167.570129,23600
2017-01-25,169.600006,170.270004,168.800003,169.350006,167.570129,32100
2017-01-26,168.529999,168.979996,165.889999,166.490005,164.740204,20900
2017-01-27,166.259995,166.960007,165.279999,165.910004,164.166275,14400
2017-01-30,165.100006,165.369995,162.979996,164.500000,162.771118,16700
2017-01-31,164.089996,169.330002,162.309998,168.839996,167.065475,26100
2017-02-01,169.789993,169.820007,167.539993,168.220001,166.451996,27400
2017-02-02,168.800003,169.800003,168.679993,169.320007,167.540451,14600
2017-02-03,169.500000,171.570007,169.500000,171.160004,169.361145,18000
2017-02-06,170.949997,171.990005,170.630005,171.289993,169.489716,15300
2017-02-07,171.410004,173.479996,170.779999,172.339996,170.528717,26000
2017-02-08,183.979996,183.979996,171.759995,172.990005,171.171890,18500
2017-02-09,173.889999,178.479996,172.860001,176.399994,174.546005,31000
2017-02-10,177.300003,177.429993,174.830002,177.000000,175.139740,10000
2017-02-13,176.500000,176.919998,174.320007,176.500000,174.644989,22200
2017-02-14,176.399994,176.410004,174.199997,174.279999,172.448303,13900
2017-02-15,174.399994,175.050003,174.070007,174.440002,172.606628,18300
2017-02-16,174.100006,175.119995,174.100006,175.089996,173.249802,10800
2017-02-17,175.529999,177.600006,175.529999,177.059998,175.199081,19600
2017-02-21,177.850006,181.270004,177.850006,181.089996,179.186737,32800
2017-02-22,180.729996,181.149994,178.830002,180.570007,178.672195,19300
2017-02-23,180.919998,181.229996,177.330002,180.839996,178.939377,18700
2017-02-24,179.800003,180.070007,176.440002,177.320007,175.456375,16700
2017-02-27,177.740005,178.279999,175.020004,176.399994,174.546005,30700
2017-02-28,176.690002,176.690002,171.500000,172.070007,170.261551,29100
2017-03-01,172.600006,175.789993,172.600006,174.509995,172.675903,32600
2017-03-02,174.429993,174.750000,173.070007,174.020004,172.191055,15200
2017-03-03,173.990005,174.820007,172.270004,174.289993,172.458176,18900
2017-03-06,173.800003,175.149994,173.160004,173.410004,171.587448,19000
2017-03-07,172.979996,175.960007,172.979996,174.550003,172.715485,16000
2017-03-08,174.559998,175.990005,172.190002,174.350006,172.517593,28300
2017-03-09,172.100006,179.570007,172.000000,173.000000,171.181763,40700
2017-03-10,174.229996,176.850006,171.320007,171.740005,169.935013,21900
2017-03-13,170.929993,173.320007,170.929993,171.220001,169.420471,23900
2017-03-14,179.490005,188.389999,178.500000,186.500000,184.539886,255800
2017-03-15,185.619995,191.600006,183.190002,189.039993,187.053177,929500
2017-03-16,188.759995,193.779999,188.759995,192.380005,190.358078,104700
2017-03-17,192.080002,195.740005,192.080002,194.029999,191.990753,120600
2017-03-20,194.270004,195.699997,192.639999,195.229996,193.178131,44900
2017-03-21,195.619995,198.000000,194.500000,195.000000,192.950562,84000
2017-03-22,193.690002,196.699997,193.690002,195.830002,193.771820,64500
2017-03-23,195.050003,200.580002,195.050003,198.520004,196.433563,71800
2017-03-24,198.789993,198.899994,197.139999,197.279999,195.206589,32900
2017-03-27,196.199997,200.750000,196.000000,199.380005,197.284515,45000
2017-03-28,199.210007,202.429993,198.050003,202.000000,199.876984,48600
2017-03-29,201.600006,202.899994,200.320007,202.259995,200.134247,39700
2017-03-30,202.940002,204.250000,201.000000,203.750000,201.608582,38000
2017-03-31,203.559998,207.399994,203.339996,206.020004,203.854721,53900
2017-04-03,206.100006,206.100006,199.080002,199.309998,197.215240,48000
2017-04-04,199.320007,202.649994,199.320007,202.020004,199.896759,40300
2017-04-05,202.449997,202.449997,199.649994,199.669998,197.571442,32600
2017-04-06,199.800003,199.800003,198.100006,198.669998,196.581970,25100
2017-04-07,198.460007,200.360001,198.419998,199.210007,197.116302,51800
2017-04-10,199.460007,205.699997,199.460007,204.339996,202.192368,35300
2017-04-11,204.589996,204.589996,202.729996,203.910004,201.766907,23000
2017-04-12,203.770004,204.009995,200.910004,202.509995,200.381607,19600
2017-04-13,201.770004,204.779999,201.630005,202.179993,200.055069,23800
2017-04-17,203.289993,207.559998,203.000000,207.449997,205.269699,19600
2017-04-18,207.399994,209.919998,205.009995,207.389999,205.210312,27800
2017-04-19,208.509995,209.339996,207.169998,208.229996,206.041489,18700
2017-04-20,208.820007,210.250000,207.500000,209.820007,207.614777,37300
2017-04-21,209.300003,209.559998,203.419998,204.899994,202.746490,34200
2017-04-24,206.020004,210.889999,206.020004,209.100006,206.902390,31400
2017-04-25,210.679993,214.710007,205.750000,207.289993,205.111389,77900
2017-04-26,206.110001,210.179993,205.729996,208.350006,206.409195,34000
2017-04-27,208.619995,211.210007,208.460007,209.919998,207.964539,37400
2017-04-28,210.110001,213.389999,207.490005,211.860001,209.886475,30400
2017-05-01,213.360001,214.539993,208.179993,209.649994,207.697083,38600
2017-05-02,210.610001,213.649994,206.899994,207.000000,205.071747,60400
2017-05-03,206.699997,210.770004,203.500000,204.190002,202.287918,51600
2017-05-04,204.699997,205.880005,203.250000,205.149994,203.238983,41200
2017-05-05,205.380005,206.380005,203.330002,205.740005,203.823517,31200
2017-05-08,205.740005,206.339996,203.360001,205.000000,203.090393,37800
2017-05-09,204.729996,205.679993,202.050003,203.149994,201.257599,45800
2017-05-10,202.009995,209.000000,195.949997,204.570007,202.664398,91300
2017-05-11,205.089996,206.500000,202.740005,203.669998,201.772781,51000
2017-05-12,204.539993,204.539993,198.110001,199.929993,198.067596,39800
2017-05-15,199.850006,202.449997,199.100006,199.300003,197.443466,53600
2017-05-16,199.990005,202.000000,199.139999,200.110001,198.245941,64400
2017-05-17,198.220001,201.639999,197.529999,199.820007,197.958649,68300
2017-05-18,200.169998,203.509995,199.639999,201.559998,199.682434,70300
2017-05-19,201.889999,205.500000,200.919998,204.419998,202.515793,45500
2017-05-22,205.470001,216.050003,205.460007,214.419998,212.422638,66100
2017-05-23,215.809998,217.699997,213.000000,215.110001,213.106216,42800
2017-05-24,215.850006,227.229996,215.649994,225.250000,223.151733,104400
2017-05-25,226.550003,229.839996,219.539993,223.059998,220.982162,71300
2017-05-26,224.399994,228.699997,222.199997,225.669998,223.567856,46400
2017-05-30,226.020004,228.500000,223.550003,227.410004,225.291626,67300
2017-05-31,228.199997,228.199997,225.139999,227.740005,225.618546,84100
2017-06-01,228.479996,231.460007,225.279999,231.210007,229.056244,57100
2017-06-02,232.779999,235.779999,231.220001,231.750000,229.591217,47300
2017-06-05,232.940002,232.940002,225.910004,225.910004,223.805603,53000
2017-06-06,225.990005,229.559998,224.029999,226.410004,224.300934,44000
2017-06-07,226.660004,230.419998,225.250000,230.110001,227.966476,30100
2017-06-08,230.220001,231.100006,226.029999,228.850006,226.718216,30800
2017-06-09,229.110001,232.380005,225.000000,227.059998,224.944885,28400
2017-06-12,226.520004,229.889999,224.000000,228.639999,226.510162,26600
2017-06-13,229.570007,231.690002,227.940002,231.690002,229.531784,39900
2017-06-14,232.000000,236.520004,231.740005,236.220001,234.019577,25900
2017-06-15,233.979996,240.449997,231.509995,238.869995,236.644882,37700
2017-06-16,237.160004,237.259995,231.279999,234.160004,231.978745,59700
2017-06-19,234.699997,237.850006,234.699997,235.889999,233.692612,21600
2017-06-20,235.669998,235.759995,232.850006,235.380005,233.187393,31800
2017-06-21,234.949997,236.500000,232.610001,234.789993,232.602875,19100
2017-06-22,234.830002,235.089996,233.039993,233.050003,230.879105,19800
2017-06-23,233.130005,235.729996,231.639999,235.660004,233.464813,32800
2017-06-26,235.789993,237.580002,232.610001,233.820007,231.641922,39500
2017-06-27,232.729996,232.860001,227.369995,227.369995,225.251984,31000
2017-06-28,228.070007,234.929993,228.070007,233.110001,230.938538,26000
2017-06-29,233.520004,234.210007,229.880005,230.750000,228.600510,18200
2017-06-30,232.009995,234.539993,228.440002,228.869995,226.738037,19200
2017-07-03,229.080002,229.960007,223.509995,224.259995,222.170975,12500
2017-07-05,224.259995,225.330002,221.449997,224.880005,222.785187,29400
2017-07-06,222.779999,226.139999,220.809998,224.539993,222.448364,25100
2017-07-07,225.550003,229.699997,225.119995,226.960007,224.845840,23900
